school_id,school,name_long,founded_year,school_type,city,zip_code,state,statecode,region,division,country,academic_year,gender,enroll_num,enroll_share
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2017_18,female,32,50.8
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2021_22,female,48,57.8
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2017_18,male,31,49.2
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2020_21,female,36,57.1
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2018_19,male,28,44.4
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2017_18,oth,0,0
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2018_19,oth,0,0
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2021_22,oth,0,0
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2018_19,female,35,55.6
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2020_21,male,27,42.9
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2021_22,male,35,42.2
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2019_20,oth,0,0
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2020_21,oth,0,0
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2019_20,male,28,44.4
2,University of Alabama,University of Alabama School of Dentistry at UAB,1948,Public,Birmingham,35233,Alabama,AL,South,East South Central,US,2019_20,female,35,55.6
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2019_20,oth,0,0
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2017_18,female,41,53.9
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2019_20,male,83,58.5
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2021_22,male,32,41
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2019_20,oth,0,0
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2020_21,oth,0,0
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2021_22,oth,0,0
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2018_19,oth,1,1.3
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2019_20,female,44,57.1
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2021_22,female,46,59
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2017_18,male,35,46.1
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2020_21,male,32,41
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2017_18,oth,0,0
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2020_21,female,74,51
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2018_19,female,49,34.3
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2018_19,male,42,55.3
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2019_20,female,59,41.5
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2018_19,female,33,43.4
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2017_18,oth,0,0
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2021_22,female,67,46.2
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2021_22,oth,0,0
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2017_18,male,85,59.9
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2017_18,female,57,40.1
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2020_21,oth,0,0
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2018_19,male,94,65.7
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2018_19,oth,0,0
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2020_21,female,46,59
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2021_22,male,78,53.8
54,Arizona School of Dentistry & Oral Health,A.T. Still University Arizona School of Dentistry and Oral Health,2003,Private,Mesa,85206,Arizona,AZ,West,Mountain,US,2019_20,male,33,42.9
100,Midwestern University - AZ,Midwestern University College of Dental Medicine- Arizona,2008,Private,Glendale,85308,Arizona,AZ,West,Mountain,US,2020_21,male,71,49
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2019_20,male,71,49
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2019_20,oth,0,0
8,Herman Ostrow School of Dentistry of USC,Herman Ostrow School of Dentistry of USC,1897,Private,Los Angeles,90089,California,CA,West,Pacific,US,2021_22,female,75,52.1
8,Herman Ostrow School of Dentistry of USC,Herman Ostrow School of Dentistry of USC,1897,Private,Los Angeles,90089,California,CA,West,Pacific,US,2018_19,oth,0,0
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2021_22,oth,0,0
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2017_18,oth,0,0
7,"University of California, Los Angeles",University of California at Los Angeles School of Dentistry,1964,Public,Los Angeles,90024,California,CA,West,Pacific,US,2019_20,oth,0,0
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2017_18,male,74,51.7
10,Loma Linda University,Loma Linda University School of Dentistry,1953,Private,Loma Linda,92350,California,CA,West,Pacific,US,2021_22,oth,0,0
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2021_22,oth,0,0
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2020_21,male,39,43.3
10,Loma Linda University,Loma Linda University School of Dentistry,1953,Private,Loma Linda,92350,California,CA,West,Pacific,US,2019_20,male,60,58.8
10,Loma Linda University,Loma Linda University School of Dentistry,1953,Private,Loma Linda,92350,California,CA,West,Pacific,US,2017_18,oth,0,0
8,Herman Ostrow School of Dentistry of USC,Herman Ostrow School of Dentistry of USC,1897,Private,Los Angeles,90089,California,CA,West,Pacific,US,2020_21,female,81,56.3
8,Herman Ostrow School of Dentistry of USC,Herman Ostrow School of Dentistry of USC,1897,Private,Los Angeles,90089,California,CA,West,Pacific,US,2020_21,oth,0,0
8,Herman Ostrow School of Dentistry of USC,Herman Ostrow School of Dentistry of USC,1897,Private,Los Angeles,90089,California,CA,West,Pacific,US,2017_18,female,72,49.7
8,Herman Ostrow School of Dentistry of USC,Herman Ostrow School of Dentistry of USC,1897,Private,Los Angeles,90089,California,CA,West,Pacific,US,2017_18,male,73,50.3
7,"University of California, Los Angeles",University of California at Los Angeles School of Dentistry,1964,Public,Los Angeles,90024,California,CA,West,Pacific,US,2021_22,oth,0,0
7,"University of California, Los Angeles",University of California at Los Angeles School of Dentistry,1964,Public,Los Angeles,90024,California,CA,West,Pacific,US,2021_22,female,50,56.8
7,"University of California, Los Angeles",University of California at Los Angeles School of Dentistry,1964,Public,Los Angeles,90024,California,CA,West,Pacific,US,2019_20,male,36,40.9
7,"University of California, Los Angeles",University of California at Los Angeles School of Dentistry,1964,Public,Los Angeles,90024,California,CA,West,Pacific,US,2019_20,female,52,59.1
7,"University of California, Los Angeles",University of California at Los Angeles School of Dentistry,1964,Public,Los Angeles,90024,California,CA,West,Pacific,US,2018_19,male,41,46.6
7,"University of California, Los Angeles",University of California at Los Angeles School of Dentistry,1964,Public,Los Angeles,90024,California,CA,West,Pacific,US,2017_18,oth,0,0
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2019_20,oth,0,0
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2019_20,male,39,44.3
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2018_19,male,39,43.8
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2017_18,male,37,41.1
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2017_18,female,53,58.9
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2018_19,female,74,51
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2021_22,female,74,49.3
10,Loma Linda University,Loma Linda University School of Dentistry,1953,Private,Loma Linda,92350,California,CA,West,Pacific,US,2021_22,male,58,57.4
8,Herman Ostrow School of Dentistry of USC,Herman Ostrow School of Dentistry of USC,1897,Private,Los Angeles,90089,California,CA,West,Pacific,US,2017_18,oth,0,0
10,Loma Linda University,Loma Linda University School of Dentistry,1953,Private,Loma Linda,92350,California,CA,West,Pacific,US,2021_22,female,43,42.6
8,Herman Ostrow School of Dentistry of USC,Herman Ostrow School of Dentistry of USC,1897,Private,Los Angeles,90089,California,CA,West,Pacific,US,2019_20,oth,0,0
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2020_21,male,73,50
7,"University of California, Los Angeles",University of California at Los Angeles School of Dentistry,1964,Public,Los Angeles,90024,California,CA,West,Pacific,US,2020_21,male,36,40.9
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2019_20,female,74,51
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2020_21,oth,0,0
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2019_20,female,49,55.7
102,Western University of Health Sciences,Western University of Health Sciences College of Dental Medicine,2009,Private,Pomona,91766,California,CA,West,Pacific,US,2020_21,male,36,51.4
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2020_21,oth,0,0
102,Western University of Health Sciences,Western University of Health Sciences College of Dental Medicine,2009,Private,Pomona,91766,California,CA,West,Pacific,US,2018_19,female,36,52.2
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2021_22,male,24,40
10,Loma Linda University,Loma Linda University School of Dentistry,1953,Private,Loma Linda,92350,California,CA,West,Pacific,US,2019_20,oth,0,0
8,Herman Ostrow School of Dentistry of USC,Herman Ostrow School of Dentistry of USC,1897,Private,Los Angeles,90089,California,CA,West,Pacific,US,2018_19,male,71,49.3
102,Western University of Health Sciences,Western University of Health Sciences College of Dental Medicine,2009,Private,Pomona,91766,California,CA,West,Pacific,US,2018_19,male,33,47.8
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2020_21,female,73,50
102,Western University of Health Sciences,Western University of Health Sciences College of Dental Medicine,2009,Private,Pomona,91766,California,CA,West,Pacific,US,2017_18,oth,0,0
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2018_19,female,50,56.2
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2021_22,male,76,50.7
7,"University of California, Los Angeles",University of California at Los Angeles School of Dentistry,1964,Public,Los Angeles,90024,California,CA,West,Pacific,US,2017_18,male,38,43.2
102,Western University of Health Sciences,Western University of Health Sciences College of Dental Medicine,2009,Private,Pomona,91766,California,CA,West,Pacific,US,2021_22,male,37,53.6
102,Western University of Health Sciences,Western University of Health Sciences College of Dental Medicine,2009,Private,Pomona,91766,California,CA,West,Pacific,US,2020_21,oth,0,0
6,"University of California, San Francisco",University of California at San Francisco School of Dentistry,1881,Public,San Francisco,94143,California,CA,West,Pacific,US,2018_19,oth,0,0
102,Western University of Health Sciences,Western University of Health Sciences College of Dental Medicine,2009,Private,Pomona,91766,California,CA,West,Pacific,US,2019_20,female,35,50
10,Loma Linda University,Loma Linda University School of Dentistry,1953,Private,Loma Linda,92350,California,CA,West,Pacific,US,2018_19,male,55,55
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2017_18,female,69,48.3
4,University of the Pacific,University of the Pacific Arthur A. Dugoni School of Dentistry,1896,Private,San Francisco,94103,California,CA,West,Pacific,US,2018_19,male,71,49
10,Loma Linda University,Loma Linda University School of Dentistry,1953,Private,Loma Linda,92350,California,CA,West,Pacific,US,2020_21,female,46,46
8,Herman Ostrow School of Dentistry of USC,Herman Ostrow School of Dentistry of USC,1897,Private,Los Angeles,90089,California,CA,West,Pacific,US,2021_22,oth,0,0
7,"University of California, Los Angeles",University of California at Los Angeles School of Dentistry,1964,Public,Los Angeles,90024,California,CA,West,Pacific,US,2020_21,oth,0,0
